date,open,close,low,high,volume
2017-01-01 00:00:00,966.34,966.6,964.6,966.99,102.48480572
2017-01-01 01:00:00,966.6,963.87,962.54,966.6,149.02555393
2017-01-01 02:00:00,964.35,963.97,961.99,965.75,94.2673959
2017-01-01 03:00:00,963.97,962.83,960.53,964.71,77.61966749
2017-01-01 04:00:00,960.61,963.46,960.6,963.64,46.81022027
2017-01-01 05:00:00,963.46,964.0,962.8,964.0,53.52625839
2017-01-01 06:00:00,963.74,964.76,963.74,964.99,26.48478439
2017-01-01 07:00:00,964.76,964.96,964.76,964.98,6.354253330000001
2017-01-01 08:00:00,964.96,964.98,964.96,964.99,30.98320442
2017-01-01 09:00:00,964.98,965.6,964.98,965.62,49.1976393
2017-01-01 10:00:00,965.6,973.98,965.01,974.77,344.93057686
2017-01-01 11:00:00,973.98,974.92,970.72,975.0,362.6981146
2017-01-01 12:00:00,975.0,972.5,972.5,975.8,212.95265971
2017-01-01 13:00:00,972.51,974.09,972.5,974.09,41.45651279
2017-01-01 14:00:00,974.1,975.85,973.2,976.0,169.39529285
2017-01-01 15:00:00,975.85,976.71,974.62,977.92,246.25312477
2017-01-01 16:00:00,976.71,992.99,976.22,992.99,1261.01208635
2017-01-01 17:00:00,992.98,990.81,981.57,994.12,407.66034449
2017-01-01 18:00:00,990.81,996.22,990.81,998.0,408.50484312
2017-01-01 19:00:00,996.53,997.03,992.49,997.03,256.63999075
2017-01-01 20:00:00,996.01,999.95,996.0,1001.64,1359.81507558
2017-01-01 21:00:00,996.29,1002.99,996.29,1003.97,448.35557812
2017-01-01 22:00:00,1002.99,1002.5,1000.0,1004.88,311.65150387
2017-01-01 23:00:00,1002.5,997.75,994.39,1005.0,382.51382162
2017-01-02 00:00:00,997.75,997.69,996.89,999.89,129.11445612
2017-01-02 01:00:00,997.69,998.46,997.68,998.46,78.17730301
2017-01-02 02:00:00,998.46,1005.0,998.44,1005.0,577.4096318200001
2017-01-02 03:00:00,1004.99,1005.75,1004.55,1005.75,166.41407127
2017-01-02 04:00:00,1005.66,1005.73,1003.55,1005.73,148.44451994
2017-01-02 05:00:00,1005.48,1003.2,1003.2,1005.8,70.22719476
2017-01-02 06:00:00,1003.2,1005.0,1002.8,1005.0,72.948867
2017-01-02 07:00:00,1005.0,1005.59,1004.76,1005.95,74.76344645
2017-01-02 08:00:00,1005.59,1006.08,1004.94,1006.53,188.37061158
2017-01-02 09:00:00,1006.49,1014.99,1006.06,1015.0,767.49828947
2017-01-02 10:00:00,1014.99,1020.0,1014.59,1024.0,528.6501869
2017-01-02 11:00:00,1020.0,1024.92,1015.98,1024.92,655.33277445
2017-01-02 12:00:00,1024.92,1024.96,1020.55,1025.0,161.79025827
2017-01-02 13:00:00,1022.97,1015.4,998.72,1024.99,794.67367405
2017-01-02 14:00:00,1015.41,1022.5,1013.23,1024.89,282.53853982
2017-01-02 15:00:00,1022.5,1026.65,1021.88,1030.0,411.61095118000003
2017-01-02 16:00:00,1026.65,1025.7,1025.5,1032.0,447.17952777
2017-01-02 17:00:00,1025.7,1022.0,1022.0,1025.7,222.7643733
2017-01-02 18:00:00,1022.0,1012.99,1010.0,1023.89,363.17155235
2017-01-02 19:00:00,1012.94,1009.88,1009.12,1014.88,501.46333455
2017-01-02 20:00:00,1009.88,1013.5,990.01,1013.5,759.4696832
2017-01-02 21:00:00,1014.07,1012.5,1008.49,1018.84,230.21106646
2017-01-02 22:00:00,1012.0,1016.8,1011.97,1017.77,375.91683535
2017-01-02 23:00:00,1016.8,1012.54,1011.25,1016.8,159.23988128
2017-01-03 00:00:00,1011.44,1019.24,1011.43,1020.0,284.73019416
2017-01-03 01:00:00,1019.24,1024.94,1018.71,1024.99,194.85351561
2017-01-03 02:00:00,1024.94,1014.56,999.99,1029.92,1508.36373585
2017-01-03 03:00:00,1014.56,1023.5,1014.56,1023.93,186.27686953
2017-01-03 04:00:00,1023.0,1023.57,1023.0,1024.96,99.99244599
2017-01-03 05:00:00,1023.59,1020.06,1020.0,1023.61,239.06172192
2017-01-03 06:00:00,1020.06,1015.33,1009.89,1020.06,297.20544673
2017-01-03 07:00:00,1012.96,1014.31,1009.08,1014.31,153.7855673
2017-01-03 08:00:00,1014.07,1016.0,1012.06,1018.73,181.27045279
2017-01-03 09:00:00,1016.0,1016.5,1015.15,1020.95,426.12807760000004
2017-01-03 10:00:00,1017.87,1020.24,1015.15,1022.51,305.27683835
2017-01-03 11:00:00,1020.28,1023.5,1020.0,1024.0,262.6341457
2017-01-03 12:00:00,1023.49,1023.75,1022.6,1026.5,531.92265711
2017-01-03 13:00:00,1023.75,1019.98,1019.97,1023.75,387.09409854
2017-01-03 14:00:00,1019.98,1017.96,1015.23,1020.0,177.72656147
2017-01-03 15:00:00,1017.96,1020.0,1015.24,1024.6,202.83478863
2017-01-03 16:00:00,1019.54,1020.98,1018.54,1020.99,265.4292582
2017-01-03 17:00:00,1020.32,1019.88,1019.42,1020.98,35.87711818
2017-01-03 18:00:00,1019.88,1020.34,1019.51,1020.99,164.76732359
2017-01-03 19:00:00,1020.34,1016.73,1016.21,1021.48,758.78542036
2017-01-03 20:00:00,1016.73,1017.12,1016.19,1020.28,271.63048234
2017-01-03 21:00:00,1017.81,1021.46,1017.12,1021.5,360.39521869
2017-01-03 22:00:00,1021.42,1022.99,1019.04,1023.63,378.21005751
2017-01-03 23:00:00,1022.99,1035.24,1022.82,1039.0,1415.4060291
2017-01-04 00:00:00,1035.51,1032.33,1032.33,1038.5,285.05745184
